hname,City,State,year,rate,group_2013,group_2014,group_2015,group_2016,group_2017,stategroup,stateorder
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,FY2015,0.8,2,3,2,1,1,1,0
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,FY2016,0.25,2,3,2,1,1,1,0
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,FY2017,0.17,2,3,2,1,1,1,0
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,FY2013,0.36,1,1,1,1,1,1,0
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,FY2014,0.12,1,1,1,1,1,1,0
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,FY2015,0.39,1,1,1,1,1,1,0
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,FY2016,0.3,1,1,1,1,1,1,0
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,FY2017,0.05,1,1,1,1,1,1,0
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,FY2013,0.75,2,1,2,1,2,1,0
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,FY2014,0.27,2,1,2,1,2,1,0
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,FY2015,0.67,2,1,2,1,2,1,0
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,FY2016,0.44,2,1,2,1,2,1,0
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,FY2017,0.87,2,1,2,1,2,1,0
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,FY2013,0,0,1,0,1,2,1,0
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,FY2014,0.26,0,1,0,1,2,1,0
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,FY2015,0,0,1,0,1,2,1,0
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,FY2016,0.24,0,1,0,1,2,1,0
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,FY2017,0.62,0,1,0,1,2,1,0
BIBB MEDICAL CENTER,CENTREVILLE,AL,FY2013,0,0,1,1,1,2,1,0
BIBB MEDICAL CENTER,CENTREVILLE,AL,FY2014,0.05,0,1,1,1,2,1,0
BIBB MEDICAL CENTER,CENTREVILLE,AL,FY2015,0.39,0,1,1,1,2,1,0
BIBB MEDICAL CENTER,CENTREVILLE,AL,FY2016,0.48,0,1,1,1,2,1,0
BIBB MEDICAL CENTER,CENTREVILLE,AL,FY2017,0.67,0,1,1,1,2,1,0
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,FY2013,0,0,1,1,2,3,1,0
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,FY2014,0.04,0,1,1,2,3,1,0
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,FY2015,0.35,0,1,1,2,3,1,0
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,FY2016,0.62,0,1,1,2,3,1,0
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,FY2017,1.26,0,1,1,2,3,1,0
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,FY2013,0.28,1,1,1,1,2,1,0
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,FY2014,0.32,1,1,1,1,2,1,0
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,FY2015,0.2,1,1,1,1,2,1,0
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,FY2016,0.37,1,1,1,1,2,1,0
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,FY2017,0.58,1,1,1,1,2,1,0
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,FY2013,0.23,1,1,0,1,1,1,0
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,FY2014,0.21,1,1,0,1,1,1,0
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,FY2015,0,1,1,0,1,1,1,0
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,FY2016,0.19,1,1,0,1,1,1,0
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,FY2017,0.31,1,1,0,1,1,1,0
CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,FY2013,0,0,0,0,0,0,1,0
CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,FY2014,0,0,0,0,0,0,1,0
CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,FY2015,0,0,0,0,0,0,1,0
CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,FY2016,0,0,0,0,0,0,1,0
CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,FY2017,0,0,0,0,0,0,1,0
CHEROKEE MEDICAL CENTER,CENTRE,AL,FY2013,0.31,1,1,0,0,0,1,0
CHEROKEE MEDICAL CENTER,CENTRE,AL,FY2014,0.14,1,1,0,0,0,1,0
CHEROKEE MEDICAL CENTER,CENTRE,AL,FY2015,0,1,1,0,0,0,1,0
CHEROKEE MEDICAL CENTER,CENTRE,AL,FY2016,0,1,1,0,0,0,1,0
CHEROKEE MEDICAL CENTER,CENTRE,AL,FY2017,0,1,1,0,0,0,1,0
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,FY2013,0,0,1,1,1,1,1,0
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,FY2014,0.01,0,1,1,1,1,1,0
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,FY2015,0.21,0,1,1,1,1,1,0
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,FY2016,0.18,0,1,1,1,1,1,0
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,FY2017,0.36,0,1,1,1,1,1,0
CLAY COUNTY HOSPITAL,ASHLAND,AL,FY2013,0.26,1,1,2,1,0,1,0
CLAY COUNTY HOSPITAL,ASHLAND,AL,FY2014,0.4,1,1,2,1,0,1,0
CLAY COUNTY HOSPITAL,ASHLAND,AL,FY2015,0.78,1,1,2,1,0,1,0
CLAY COUNTY HOSPITAL,ASHLAND,AL,FY2016,0.31,1,1,2,1,0,1,0
CLAY COUNTY HOSPITAL,ASHLAND,AL,FY2017,0,1,1,2,1,0,1,0
COMMUNITY HOSPITAL INC,TALLASSEE,AL,FY2013,0.04,1,2,1,0,1,1,0
COMMUNITY HOSPITAL INC,TALLASSEE,AL,FY2014,0.56,1,2,1,0,1,1,0
COMMUNITY HOSPITAL INC,TALLASSEE,AL,FY2015,0.08,1,2,1,0,1,1,0
COMMUNITY HOSPITAL INC,TALLASSEE,AL,FY2016,0,1,2,1,0,1,1,0
COMMUNITY HOSPITAL INC,TALLASSEE,AL,FY2017,0.03,1,2,1,0,1,1,0
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,FY2013,0.58,2,1,1,2,3,1,0
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,FY2014,0.22,2,1,1,2,3,1,0
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,FY2015,0.13,2,1,1,2,3,1,0
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,FY2016,0.53,2,1,1,2,3,1,0
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,FY2017,1.02,2,1,1,2,3,1,0
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,FY2013,0,0,0,1,1,1,1,0
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,FY2014,0,0,0,1,1,1,1,0
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,FY2015,0.1,0,0,1,1,1,1,0
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,FY2016,0.01,0,0,1,1,1,1,0
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,FY2017,0.19,0,0,1,1,1,1,0
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,FY2013,0.02,1,1,2,1,2,1,0
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,FY2014,0.04,1,1,2,1,2,1,0
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,FY2015,0.8,1,1,2,1,2,1,0
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,FY2016,0.35,1,1,2,1,2,1,0
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,FY2017,0.67,1,1,2,1,2,1,0
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,FY2013,0.03,1,1,2,2,1,1,0
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,FY2014,0.16,1,1,2,2,1,1,0
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,FY2015,0.91,1,1,2,2,1,1,0
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,FY2016,0.57,1,1,2,2,1,1,0
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,FY2017,0.25,1,1,2,2,1,1,0
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,FY2013,0.3,1,1,3,3,3,1,0
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,FY2014,0.43,1,1,3,3,3,1,0
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,FY2015,1.24,1,1,3,3,3,1,0
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,FY2016,1.25,1,1,3,3,3,1,0
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,FY2017,1.44,1,1,3,3,3,1,0
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,FY2013,0.29,1,2,2,1,1,1,0
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,FY2014,0.61,1,2,2,1,1,1,0
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,FY2015,0.85,1,2,2,1,1,1,0
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,FY2016,0.39,1,2,2,1,1,1,0
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,FY2017,0.33,1,2,2,1,1,1,0
DALE MEDICAL CENTER,OZARK,AL,FY2013,0,0,0,2,2,1,1,0
DALE MEDICAL CENTER,OZARK,AL,FY2014,0,0,0,2,2,1,1,0
DALE MEDICAL CENTER,OZARK,AL,FY2015,0.87,0,0,2,2,1,1,0
DALE MEDICAL CENTER,OZARK,AL,FY2016,0.71,0,0,2,2,1,1,0
DALE MEDICAL CENTER,OZARK,AL,FY2017,0.4,0,0,2,2,1,1,0
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,AL,FY2013,0.31,1,1,1,1,1,1,0
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,AL,FY2014,0.01,1,1,1,1,1,1,0
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,AL,FY2015,0.35,1,1,1,1,1,1,0
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,AL,FY2016,0.01,1,1,1,1,1,1,0
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,AL,FY2017,0.47,1,1,1,1,1,1,0
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,FY2013,0.28,1,1,2,2,3,1,0
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,FY2014,0.31,1,1,2,2,3,1,0
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,FY2015,0.73,1,1,2,2,3,1,0
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,FY2016,0.97,1,1,2,2,3,1,0
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,FY2017,1.48,1,1,2,2,3,1,0
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,FY2013,0.64,2,2,2,3,4,1,0
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,FY2014,0.51,2,2,2,3,4,1,0
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,FY2015,0.73,2,2,2,3,4,1,0
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,FY2016,1.25,2,2,2,3,4,1,0
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,FY2017,1.85,2,2,2,3,4,1,0
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,FY2013,0,0,0,0,1,2,1,0
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,FY2014,0,0,0,0,1,2,1,0
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,FY2015,0,0,0,0,1,2,1,0
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,FY2016,0.09,0,0,0,1,2,1,0
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,FY2017,0.58,0,0,0,1,2,1,0
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,FY2013,0.34,1,1,1,1,1,1,0
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,FY2014,0.42,1,1,1,1,1,1,0
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,FY2015,0.18,1,1,1,1,1,1,0
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,FY2016,0.12,1,1,1,1,1,1,0
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,FY2017,0.05,1,1,1,1,1,1,0
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,FY2013,0.59,2,3,5,2,2,1,0
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,FY2014,1.2,2,3,5,2,2,1,0
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,FY2015,2.12,2,3,5,2,2,1,0
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,FY2016,0.78,2,3,5,2,2,1,0
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,FY2017,0.78,2,3,5,2,2,1,0
FAYETTE MEDICAL CENTER,FAYETTE,AL,FY2013,0,0,1,3,3,5,1,0
FAYETTE MEDICAL CENTER,FAYETTE,AL,FY2014,0.34,0,1,3,3,5,1,0
FAYETTE MEDICAL CENTER,FAYETTE,AL,FY2015,1.03,0,1,3,3,5,1,0
FAYETTE MEDICAL CENTER,FAYETTE,AL,FY2016,1.37,0,1,3,3,5,1,0
FAYETTE MEDICAL CENTER,FAYETTE,AL,FY2017,2.32,0,1,3,3,5,1,0
FLOWERS HOSPITAL,DOTHAN,AL,FY2013,0.04,1,1,1,1,1,1,0
FLOWERS HOSPITAL,DOTHAN,AL,FY2014,0.45,1,1,1,1,1,1,0
FLOWERS HOSPITAL,DOTHAN,AL,FY2015,0.19,1,1,1,1,1,1,0
FLOWERS HOSPITAL,DOTHAN,AL,FY2016,0.21,1,1,1,1,1,1,0
FLOWERS HOSPITAL,DOTHAN,AL,FY2017,0.4,1,1,1,1,1,1,0
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,FY2013,0.57,2,1,3,3,5,1,0
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,FY2014,0.47,2,1,3,3,5,1,0
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,FY2015,1.11,2,1,3,3,5,1,0
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,FY2016,1.23,2,1,3,3,5,1,0
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,FY2017,2.07,2,1,3,3,5,1,0
GEORGIANA MEDICAL CENTER,GEORGIANA,AL,FY2013,1,2,1,2,1,2,1,0
GEORGIANA MEDICAL CENTER,GEORGIANA,AL,FY2014,0.31,2,1,2,1,2,1,0
GEORGIANA MEDICAL CENTER,GEORGIANA,AL,FY2015,0.61,2,1,2,1,2,1,0
GEORGIANA MEDICAL CENTER,GEORGIANA,AL,FY2016,0.41,2,1,2,1,2,1,0
GEORGIANA MEDICAL CENTER,GEORGIANA,AL,FY2017,0.77,2,1,2,1,2,1,0
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,FY2013,0.05,1,1,1,2,2,1,0
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,FY2014,0.06,1,1,1,2,2,1,0
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,FY2015,0.5,1,1,1,2,2,1,0
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,FY2016,0.52,1,1,1,2,2,1,0
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,FY2017,0.93,1,1,1,2,2,1,0
GREENE COUNTY HOSPITAL,EUTAW,AL,FY2013,1,2,2,1,1,1,1,0
GREENE COUNTY HOSPITAL,EUTAW,AL,FY2014,0.93,2,2,1,1,1,1,0
GREENE COUNTY HOSPITAL,EUTAW,AL,FY2015,0.24,2,2,1,1,1,1,0
GREENE COUNTY HOSPITAL,EUTAW,AL,FY2016,0.2,2,2,1,1,1,1,0
GREENE COUNTY HOSPITAL,EUTAW,AL,FY2017,0.2,2,2,1,1,1,1,0
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,FY2013,0,0,1,0,0,0,1,0
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,FY2014,0.07,0,1,0,0,0,1,0
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,FY2015,0,0,1,0,0,0,1,0
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,FY2016,0,0,1,0,0,0,1,0
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,FY2017,0,0,1,0,0,0,1,0
HALE COUNTY HOSPITAL,GREENSBORO,AL,FY2013,0,0,0,0,0,0,1,0
HALE COUNTY HOSPITAL,GREENSBORO,AL,FY2014,0,0,0,0,0,0,1,0
HALE COUNTY HOSPITAL,GREENSBORO,AL,FY2015,0,0,0,0,0,0,1,0
HALE COUNTY HOSPITAL,GREENSBORO,AL,FY2016,0,0,0,0,0,0,1,0
HALE COUNTY HOSPITAL,GREENSBORO,AL,FY2017,0,0,0,0,0,0,1,0
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,FY2013,0.18,1,1,1,1,3,1,0
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,FY2014,0.01,1,1,1,1,3,1,0
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,FY2015,0.11,1,1,1,1,3,1,0
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,FY2016,0.33,1,1,1,1,3,1,0
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,FY2017,1.06,1,1,1,1,3,1,0
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,FY2013,0.66,2,2,2,1,1,1,0
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,FY2014,0.53,2,2,2,1,1,1,0
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,FY2015,0.76,2,2,2,1,1,1,0
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,FY2016,0.31,2,2,2,1,1,1,0
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,FY2017,0.14,2,2,2,1,1,1,0
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,FY2013,0,0,0,0,0,0,1,0
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,FY2014,0,0,0,0,0,0,1,0
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,FY2015,0,0,0,0,0,0,1,0
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,FY2016,0,0,0,0,0,0,1,0
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,FY2017,0,0,0,0,0,0,1,0
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,FY2013,0,0,0,1,2,1,1,0
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,FY2014,0,0,0,1,2,1,1,0
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,FY2015,0.02,0,0,1,2,1,1,0
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,FY2016,0.7,0,0,1,2,1,1,0
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,FY2017,0.29,0,0,1,2,1,1,0
J PAUL JONES HOSPITAL,CAMDEN,AL,FY2013,0,0,0,0,0,0,1,0
J PAUL JONES HOSPITAL,CAMDEN,AL,FY2014,0,0,0,0,0,0,1,0
J PAUL JONES HOSPITAL,CAMDEN,AL,FY2015,0,0,0,0,0,0,1,0
J PAUL JONES HOSPITAL,CAMDEN,AL,FY2016,0,0,0,0,0,0,1,0
J PAUL JONES HOSPITAL,CAMDEN,AL,FY2017,0,0,0,0,0,0,1,0
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,FY2013,0,0,1,1,1,0,1,0
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,FY2014,0.02,0,1,1,1,0,1,0
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,FY2015,0.03,0,1,1,1,0,1,0
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,FY2016,0.03,0,1,1,1,0,1,0
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,FY2017,0,0,1,1,1,0,1,0
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,FY2013,0.19,1,1,1,2,1,1,0
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,FY2014,0.06,1,1,1,2,1,1,0
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,FY2015,0.44,1,1,1,2,1,1,0
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,FY2016,0.57,1,1,1,2,1,1,0
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,FY2017,0.49,1,1,1,2,1,1,0
JACKSON MEDICAL CENTER,JACKSON,AL,FY2013,0.24,1,1,1,1,1,1,0
JACKSON MEDICAL CENTER,JACKSON,AL,FY2014,0.13,1,1,1,1,1,1,0
