state,year,rate
MS,FY2014,0.41606557377049186
MS,FY2015,0.60672131147541
MS,FY2016,0.5253225806451615
MS,FY2017,0.7515873015873017
MT,FY2013,0.07692307692307693
MT,FY2014,0.015384615384615385
MT,FY2015,0.1676923076923077
MT,FY2016,0.27076923076923076
MT,FY2017,0.3261538461538462
NC,FY2013,0.2648780487804878
NC,FY2014,0.24207317073170728
NC,FY2015,0.4178048780487805
NC,FY2016,0.5124390243902439
NC,FY2017,0.6600000000000001
ND,FY2013,0.1942857142857143
ND,FY2014,0.08857142857142856
ND,FY2015,0.05142857142857143
ND,FY2016,0.060000000000000005
ND,FY2017,0.11625
NE,FY2013,0.1504347826086956
NE,FY2014,0.03826086956521739
NE,FY2015,0.1856521739130435
NE,FY2016,0.22958333333333336
NE,FY2017,0.3020833333333333
NH,FY2013,0.08538461538461539
NH,FY2014,0.12384615384615386
NH,FY2015,0.28538461538461535
NH,FY2016,0.37846153846153846
NH,FY2017,0.35307692307692307
NJ,FY2013,0.6755555555555558
NJ,FY2014,0.616031746031746
NJ,FY2015,0.8039062500000003
NJ,FY2016,0.7217187499999999
NJ,FY2017,0.9196875
NM,FY2013,0.04258064516129032
NM,FY2014,0.07483870967741936
NM,FY2015,0.20718749999999997
NM,FY2016,0.20843750000000003
NM,FY2017,0.2884375
NV,FY2013,0.3414285714285714
NV,FY2014,0.28523809523809524
NV,FY2015,0.64
NV,FY2016,0.538095238095238
NV,FY2017,0.67
NY,FY2013,0.5269078947368423
NY,FY2014,0.4486274509803924
NY,FY2015,0.6918300653594768
NY,FY2016,0.6849673202614381
NY,FY2017,0.9757516339869279
OH,FY2013,0.2889600000000001
OH,FY2014,0.26579365079365075
OH,FY2015,0.6039062499999999
OH,FY2016,0.5967187499999996
OH,FY2017,0.5378125
OK,FY2013,0.22280898876404492
OK,FY2014,0.20166666666666666
OK,FY2015,0.4098901098901099
OK,FY2016,0.38384615384615384
OK,FY2017,0.4414285714285714
OR,FY2013,0.046060606060606066
OR,FY2014,0.058787878787878785
OR,FY2015,0.07757575757575756
OR,FY2016,0.19794117647058826
OR,FY2017,0.24617647058823527
PA,FY2013,0.3396598639455783
PA,FY2014,0.2707382550335571
PA,FY2015,0.5243046357615894
PA,FY2016,0.5212582781456954
PA,FY2017,0.5892715231788078
RI,FY2013,0.3772727272727273
RI,FY2014,0.37454545454545457
RI,FY2015,0.4881818181818182
RI,FY2016,0.5172727272727274
RI,FY2017,0.5354545454545454
SC,FY2013,0.26352941176470585
SC,FY2014,0.2394230769230769
SC,FY2015,0.48500000000000004
SC,FY2016,0.47433962264150953
SC,FY2017,0.6130188679245283
SD,FY2013,0.014761904761904764
SD,FY2014,0.0225
SD,FY2015,0.07909090909090909
SD,FY2016,0.23818181818181816
SD,FY2017,0.02681818181818182
TN,FY2013,0.4332584269662922
TN,FY2014,0.45775280898876414
TN,FY2015,0.6437362637362638
TN,FY2016,0.5402197802197802
TN,FY2017,0.6679120879120879
TX,FY2013,0.17639860139860133
TX,FY2014,0.16725085910652918
TX,FY2015,0.3532659932659934
TX,FY2016,0.35727574750830554
TX,FY2017,0.4144805194805194
UT,FY2013,0.010624999999999999
UT,FY2014,0.0153125
UT,FY2015,0.28874999999999995
UT,FY2016,0.25696969696969696
UT,FY2017,0.3051515151515152
VA,FY2013,0.3383098591549297
VA,FY2014,0.3785915492957746
VA,FY2015,0.8926388888888889
VA,FY2016,0.9372602739726026
VA,FY2017,1.0065753424657535
VT,FY2013,0.016666666666666666
VT,FY2014,0.021666666666666667
VT,FY2015,0.06666666666666667
VT,FY2016,0.051666666666666666
VT,FY2017,0.2966666666666667
WA,FY2013,0.14229166666666665
WA,FY2014,0.1126530612244898
WA,FY2015,0.35020408163265304
WA,FY2016,0.2748979591836735
WA,FY2017,0.26591836734693874
WI,FY2013,0.07765625
WI,FY2014,0.06424242424242423
WI,FY2015,0.30892307692307697
WI,FY2016,0.2792424242424241
WI,FY2017,0.3372727272727273
WV,FY2013,0.4625000000000002
WV,FY2014,0.440357142857143
WV,FY2015,1.0064285714285715
WV,FY2016,0.9564285714285715
WV,FY2017,0.9675862068965518
WY,FY2013,0.042
WY,FY2014,0.03300000000000001
WY,FY2015,0.31300000000000006
WY,FY2016,0.296
WY,FY2017,0.286

